resp,mod,modlvl,est
bio,cc_type2,modnon-grass,-0.5172040805143605
bio,cc_type2,modgrass,-1.001947564284608
bio,cc_type2,modnon-grass,0.004531299924855815
bio,cc_type2,modgrass,-1.2434231815423378
bio,cc_type2,modnon-grass,-0.818773594680899
bio,cc_type2,modgrass,-1.2999829573018205
bio,cc_type2,modnon-grass,0.2160510141797966
bio,cc_type2,modgrass,-0.985725773153442
bio,cc_type2,modnon-grass,-0.3616855558904816
bio,cc_type2,modgrass,-1.588824054440063
bio,cc_type2,modnon-grass,-0.5162693741617758
bio,cc_type2,modgrass,-0.8993142822099194
bio,cc_type2,modnon-grass,-0.4778240522632229
bio,cc_type2,modgrass,-1.6035186733766178
bio,cc_type2,modnon-grass,-0.09488246175360429
bio,cc_type2,modgrass,-0.9364235979953565
bio,cc_type2,modnon-grass,-0.14224299531551854
bio,cc_type2,modgrass,-0.7526456430165893
bio,cc_type2,modnon-grass,-0.16335295910344322
bio,cc_type2,modgrass,-1.17792039396914
bio,cc_type2,modnon-grass,0.07434968797559112
bio,cc_type2,modgrass,-1.0807071527660517
bio,cc_type2,modnon-grass,-0.3080299378173797
bio,cc_type2,modgrass,-1.855047561954038
bio,cc_type2,modnon-grass,-0.4361863968960295
bio,cc_type2,modgrass,-1.0528734857783235
bio,cc_type2,modnon-grass,-0.3118533425786828
bio,cc_type2,modgrass,-1.0214317117032596
bio,cc_type2,modnon-grass,0.03773140246559209
bio,cc_type2,modgrass,-1.090815897287464
bio,cc_type2,modnon-grass,-0.19556304831546883
bio,cc_type2,modgrass,-0.94604931372427
bio,cc_type2,modnon-grass,-0.20539171305860812
bio,cc_type2,modgrass,-1.371805111467
bio,cc_type2,modnon-grass,-0.03272897631320613
bio,cc_type2,modgrass,-1.565590620045823
bio,cc_type2,modnon-grass,-0.5121580045214381
bio,cc_type2,modgrass,-1.452503250073105
